username,group_number,rate,feedback,time
uid1,1,5,,07:41
uid2,1,4,,07:41
uid4,1,4,הפרויקט היה מאוד מושקע ,07:41
uid6,1,4,,07:41
uid5,1,4,,07:42
uid3,1,5,,07:42
uid7,1,4,,07:44
uid4,2,3,הסבירה מאוד מובן ומאוד יפה,07:53
uid5,2,3,,07:58
uid2,2,5,,07:58
uid1,2,4,,07:58
uid3,2,5,,07:58
uid6,2,4,,07:58
uid7,2,4,,07:59
uid4,3,3,נושא מאוד מעניין וחקרו מאוד יפה,08:22
uid1,3,4,,08:23
uid3,3,5,,08:23
uid5,3,5,,08:23
uid2,3,3,,08:23
uid6,3,5,,08:23
uid7,3,5,,08:24
uid4,4,4,למרות שבהתחלה היה קושי עם הנתונים שהיה קצת נתונים ובסוף הצלחת להוציא הרבה מסקנות מעניינות ,08:54
uid5,4,5,,08:56
uid1,4,5,,08:56
uid2,4,4,,08:57
uid6,4,4,,08:57
uid3,4,4,,08:57
uid7,4,5,,08:58
uid6,5,2,,09:17
uid5,5,2,,09:18
uid1,5,3,,09:19
uid2,5,2,,09:19
uid4,5,2,היה נושא מענין אבל לא מאוד ברור ,09:20
uid7,5,4,,09:22
uid4,6,5,ממש מענין וגרפים שונים והגיעו למסקנות מאוד מעניינות. ,09:30
uid2,6,5,,09:34
uid5,6,5,,09:34
uid3,5,3,,09:34
uid1,6,5,,09:35
uid7,6,5,,09:35
uid3,6,5,,09:35
uid6,6,5,,09:36
