user_id,pr_score,score,lag,session_id,primacy,recency,total_comparisons,norm_primacy,norm_recency,Duration__in_seconds_,age,Gender,BIG5_1,BIG5_2,BIG5_3,BIG5_4,BIG5_5,BIG5_6,BIG5_7,BIG5_8,BIG5_9,BIG5_10,BIG5_11,BIG5_12,BIG5_13,BIG5_14,BIG5_15,BIG5_16,BIG5_17,BIG5_18,BIG5_19,BIG5_20,BIG5_21,BIG5_22,BIG5_23,BIG5_24,BIG5_25,BIG5_26,BIG5_27,BIG5_28,BIG5_29,BIG5_30,BIG5_31,BIG5_32,BIG5_33,BIG5_34,BIG5_35,BIG5_36,BIG5_37,BIG5_38,BIG5_39,BIG5_40,BIG5_41,BIG5_42,BIG5_43,BIG5_44,BIG5_6n,BIG5_21n,BIG5_31n,BIG5_2n,BIG5_12n,BIG5_27n,BIG5_37n,BIG5_8n,BIG5_18n,BIG5_23n,BIG5_28n,BIG5_43n,BIG5_9n,BIG5_24n,BIG5_34n,BIG5_35n,BIG5_41n,extro,agree,conc,neuro,openes
uid1_11,1.0,4,1,11,1,0,1,1.0,0.0,226.00,26.0,1.0,4.0,2.0,4.0,1.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.13,4.56,4.22,1.63,3.89
uid1_11,-1.0,4,3,11,0,1,1,0.0,1.0,226.00,26.0,1.0,4.0,2.0,4.0,1.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.13,4.56,4.22,1.63,3.89
uid1_11,-1.0,4,4,11,0,1,1,0.0,1.0,226.00,26.0,1.0,4.0,2.0,4.0,1.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.13,4.56,4.22,1.63,3.89
uid1_11,0.3333333333333333,5,1,11,2,1,3,0.6666666666666666,0.3333333333333333,226.00,26.0,1.0,4.0,2.0,4.0,1.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.13,4.56,4.22,1.63,3.89
uid1_11,0.0,5,2,11,1,1,2,0.5,0.5,226.00,26.0,1.0,4.0,2.0,4.0,1.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.13,4.56,4.22,1.63,3.89
uid1_11,-1.0,5,3,11,0,2,2,0.0,1.0,226.00,26.0,1.0,4.0,2.0,4.0,1.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.13,4.56,4.22,1.63,3.89
uid1_11,-1.0,5,4,11,0,2,2,0.0,1.0,226.00,26.0,1.0,4.0,2.0,4.0,1.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.13,4.56,4.22,1.63,3.89
uid1_11,-1.0,5,5,11,0,2,2,0.0,1.0,226.00,26.0,1.0,4.0,2.0,4.0,1.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.13,4.56,4.22,1.63,3.89
uid1_11,-1.0,5,6,11,0,2,2,0.0,1.0,226.00,26.0,1.0,4.0,2.0,4.0,1.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.13,4.56,4.22,1.63,3.89
uid1_11,-1.0,5,7,11,0,1,1,0.0,1.0,226.00,26.0,1.0,4.0,2.0,4.0,1.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.13,4.56,4.22,1.63,3.89
