username,group_number,rate,feedback,time
uid20,4,5,,10:03
uid20,9,5,,10:26
uid20,3,5,,10:42
uid20,5,5,,11:12
uid20,6,5,,12:02
uid20,8,5,,12:23
uid20,1,5,,12:55
uid20,7,5,,13:15
uid20,2,5,,13:36
uid14,9,5,,10:03
uid14,3,5,,10:42
uid14,5,5,,11:05
uid14,4,5,,11:44
uid14,6,4,,11:58
uid14,8,5,,12:27
uid14,1,5,,12:56
uid14,7,5,,13:15
uid14,2,5,,13:40
uid12,9,5,,10:19
uid12,3,5,,10:53
uid12,5,4,,11:02
uid12,4,5,,11:43
uid12,6,3,,12:01
uid12,8,3,,12:19
uid12,1,4,,12:58
uid12,7,5,,13:15
uid12,2,5,,13:40
uid21,9,5,,10:24
uid21,3,5,,10:46
uid21,5,4,,11:08
uid21,4,5,,11:49
uid21,6,4,,12:02
uid21,8,4,,12:21
uid21,1,5,,12:55
uid21,7,4,,13:14
uid21,2,5,,13:44
uid19,9,5,,10:26
uid19,3,5,,10:53
uid19,5,5,,11:13
uid19,4,5,,11:48
uid19,6,5,,12:08
uid19,8,3,,12:19
uid19,1,4,,12:58
uid19,7,4,,13:22
uid19,2,5,,13:39
uid18,9,4,,10:27
uid18,3,4,,10:43
uid18,5,5,,11:17
uid18,4,4,,11:42
uid18,6,3,,12:00
uid18,8,3,,12:19
uid18,1,4,,12:57
uid18,7,4,,13:15
uid18,2,3,,13:32
uid8,9,4,,10:27
uid8,3,5,,10:43
uid8,5,5,,11:19
uid8,4,4,,11:52
uid8,8,3,,12:41
uid8,6,4,,12:41
uid8,1,5,,13:05
uid8,7,5,,13:17
uid8,2,4,,13:38
uid3,9,4,"בטיחות זה חשוב עבודה מעולה , להוסיף קצת הסברים מידי פעם מתחת לכל גרף",10:29
uid3,3,4,עבודה טובה קצר ולעניין תותחים ,10:48
uid3,5,4,אהבתי ממש את המפה אולי קצת להוסיף עוד גרפים מסוגים שונים,11:02
uid3,4,5,גרמתם לנו להיות יותר זהירים בכביש ,11:43
uid3,6,5,להציג את הגרפים בסוף שיראו מי הבמאי הכי טוב בזב שנוסיך עוד עמודה ונראה ויזואלית נגיד לפני ההכנסות פיר סרט כאילו לחלק את כל הסרטים שכל במאי הוציא לסכום שהוא הרוויח זה היה יותר טוב,12:10
uid3,8,5,עושה חשק לאמץ כלב ,12:21
uid3,1,4,פרויקט יפה מאוד רמה גבוהה אולי קצת לשים גרפים שיותר מובנים לעין וקריאה...,13:06
uid3,7,5,הסברתן ממש טוב הגרפים ממש טובים אשמח לדעת איך עשיתן חלק מהם,13:14
uid3,2,4,"אולי היה עדיף בגרף אחר להשאיר באותו צבע הגרף המאוזן
",13:29
uid4,9,1,,10:29
uid4,3,4,,10:42
uid4,5,4,,11:06
uid4,4,5,,11:54
uid4,6,4,,12:04
uid4,8,4,,12:17
uid4,1,3,,12:58
uid4,7,4,,13:15
uid4,2,4,,13:36
uid15,9,4,,10:29
uid15,3,4,תמציתי ומדוייק ומאד מעניין,10:53
uid15,5,5,מאד מעניין ומאד מסקרן,11:08
uid15,4,4,מאד יצירתי ומעניין,11:50
uid15,6,3,,12:09
uid15,8,3,,12:16
uid15,1,4,הגרפים היו יצירתיים ומעניין ותואם למסקנות,13:08
uid15,7,5,פרוייקט ברמה גבוהה מאד הגרפים היו במקום והמסקנות היו טובות,13:18
uid15,2,4,גרפים מעניינים ונושא טוב,13:34
uid10,9,4,,10:32
uid10,3,4,,10:52
uid10,5,2,,11:21
uid10,4,5,,11:52
uid10,6,3,,12:09
uid10,8,4,,12:24
uid10,1,2,,13:06
uid10,7,4,,13:25
uid10,2,3,,16:42
uid11,9,4,,10:32
uid11,3,5,,10:47
uid11,5,5,,11:08
uid11,4,5,,11:48
uid11,6,4,,12:07
uid11,8,5,,12:22
uid11,1,4,,12:59
uid11,7,5,,13:17
uid11,2,4,,14:00
uid5,9,5,הפרוייקט היה על רמה גבוה ההצגה הייתה כריזמתית ומוסברת היטב הגרפים היו רלוונטים למה שהוצג עבודה 10/10,10:33
uid5,3,4,עבודה מוצגת בצורה ברורה ומעניינת כמה גרפים לא היו מובנים אבל הם הסבירו אותם כמו שצריך,10:52
uid5,5,5,נושא מעניין ברמות ישבתי מרותקת הכל היה מובן ומוסבר היטב אהבתי את החשיבה על הפונקציה בסוף ,11:18
uid5,4,5,פרוייקט מוצג בצורה ברורה מסקנות מפתיעות ומעניינות,11:53
uid5,6,5,היה פרוייקט מאוד מושקע ראו שישבו עליו הרבה מסקנות מעניינות והעברה מעולה,12:10
uid5,8,5,מעניין מאוד הולכת לאמץ כלב,12:38
uid5,1,5,מעניין מאוד ראו שחקרו את הנושא ממש,13:24
uid5,7,5,,13:25
uid5,2,3,,13:43
uid2,9,3,,10:33
uid2,5,5,,11:17
uid2,3,3,,11:19
uid2,4,3,,12:04
uid2,6,3,,12:09
uid2,8,4,,12:30
uid2,1,5,אהבתי את הרעיון המסקנות הוצגו בצורה טובה מאוד ,13:07
uid2,7,4,,13:16
uid2,2,4,,13:33
uid9,9,5,,10:33
uid9,3,4,,10:53
uid9,5,5,,11:06
uid9,4,4,,11:43
uid9,6,4,,12:03
uid9,8,5,,12:39
uid9,1,4,,12:58
uid9,7,5,,13:16
uid9,2,5,,13:38
uid6,9,4,,10:33
uid6,3,5,,10:52
uid6,5,5,,11:17
uid6,4,5,,11:53
uid6,6,5,,12:10
uid6,8,4,,12:35
uid6,1,5,,13:24
uid6,7,5,,13:25
uid6,2,4,,13:43
uid1,9,4,,10:33
uid1,3,4,,10:52
uid1,5,5,,11:18
uid1,4,5,,11:52
uid1,6,5,,12:09
uid1,8,5,,12:38
uid1,1,5,,13:25
uid1,7,5,,13:26
uid1,2,4,,13:43
uid17,9,3,,10:33
uid17,3,4,,10:44
uid17,5,3,,11:13
uid17,4,5,,11:54
uid17,6,3,,12:10
uid17,8,3,,12:24
uid17,1,3,,13:07
uid17,7,3,,13:15
uid17,2,3,,13:50
uid13,9,4,"בעיניי הוצגו גרפים תואמים למסקנות, היה משחק יפה עם שני הקבצים שעבדתם איתם, הייתי מקצרת קצת את הפרויקט.",10:35
uid13,3,4,,10:52
uid13,5,4,אהבתי את הרעיון המרכזי ואת הצורה שהבאתם את הנתונים לידי ביטוי ,12:09
uid13,4,4,"הפרויקט נעים לעין וההצגה שלו הייתה מעולה 
בעיניי כדאי לשים את התרשימים הקשורים אחד לשני קרובים אחד לשני ",12:11
uid13,6,4,,12:12
uid13,8,4,"ציפיתי שכל משתתפי הפרויקט ידברו במהלך ההצגה 
עבודה מהממת ומובנת ",12:17
uid13,1,4,,13:08
uid13,7,5,אהבתי את החקירה לעומק של הפרטים הנושא היה מעניין והנתונים הובאו לידי ביטוי בצורה טובה ,13:17
uid13,2,4,,13:34
uid16,6,5,,10:43
uid16,5,5,,11:10
uid16,4,4,,11:48
uid16,3,5,,12:08
uid16,2,4,,13:36
uid16,8,5,,12:17
uid16,1,4,,12:56
uid16,9,4,,13:06
uid16,7,5,,13:16
uid7,9,5,"פרוייקט ברמה גבוההה גריפים קריאים ברורים ומגוונים אהבתי את ההצגה ממש
הייתי קצת מצמצמת מידע ",10:45
uid7,3,4,ברור קצר קולע מובן ,10:46
uid7,5,4,ממש טובים מבחינת הצגה הייתי מוסיפה עוד גרפים חוץ מזה הדאטה מעניין,11:01
uid7,8,5,"היה מצויין הצגה יפה וברורה
קליל ומעניין רציתי שימשיכו להציג",12:44
uid7,1,4,"פרוייקט יפה על רמה גבוהה
הייתי שמה בצירים של הגרף בצורה קריאה מאונכת את המילים כי צריך להזיז את הראש בשביל לקרוא ",13:06
uid7,6,5,עבדנו קשה מאד,13:07
uid7,4,5,מעניין מאד ומפתיע הבנתי את מה שהציגו היה קריא והגרפיים היו מגוונים,13:08
uid7,7,5,ואו אהבתי ממש מעניין גרפים יפים קריאים  לא כבד מדי,13:44
uid7,2,5,"יפה מאד, קלילה, מציגה בצורה מובנת הופתעתי מהמסקנות",13:45
