username,group_number,rate,feedback,time
uid1,2,4,,05:43
uid1,1,4,,05:27
uid1,3,4,,05:58
uid1,4,5,,06:48
uid1,5,3,,06:55
uid1,6,4,,07:14
uid1,7,5,,07:57
uid1,8,3,,08:05
uid1,9,4,,08:25
uid2,1,4,,05:22
uid2,2,5,,05:44
uid2,3,3,,05:58
uid2,4,5,,06:46
uid2,5,3,,06:59
uid2,6,5,,07:14
uid2,7,5,,07:56
uid2,8,4,,08:06
uid2,9,4,,08:24
uid10,1,4,,05:24
uid10,2,5,,05:45
uid10,3,5,,05:56
uid10,4,4,,06:41
uid10,5,3,,06:57
uid10,6,5,,07:15
uid10,7,4,,07:53
uid10,9,5,,08:06
uid10,8,5,,08:07
uid5,1,4,,05:25
uid5,2,4,,05:45
uid5,3,5,,05:57
uid5,4,3,ממש מעניין אבל ארוך ,06:35
uid5,5,3,,06:59
uid5,6,4,הסבר מעולה ,07:53
uid5,7,5,,07:57
uid5,8,2,,08:05
uid5,9,4,,08:33
uid13,7,5,,05:27
uid13,1,5,,05:28
uid13,2,3,,05:44
uid13,3,4,,06:00
uid13,4,5,,06:33
uid13,5,5,,06:59
uid13,6,4,,07:14
uid13,8,4,,08:06
uid13,9,5,,08:24
uid4,1,5,,05:27
uid4,2,5,,05:43
uid4,3,5,,06:00
uid4,4,4,,06:46
uid4,5,3,,06:58
uid4,6,5,,07:18
uid4,7,5,,08:07
uid4,8,5,,08:07
uid4,9,5,,08:24
uid18,1,3,,05:27
uid18,2,4,,06:13
uid18,3,3,,06:34
uid18,4,4,,06:46
uid18,5,3,,06:55
uid18,6,4,,07:09
uid18,7,4,,07:55
uid18,8,3,,08:21
uid18,9,4,,08:22
uid15,1,4,,05:27
uid15,2,3,,05:44
uid15,3,2,,06:01
uid15,4,4,,06:41
uid15,5,2,,06:55
uid15,6,3,,07:19
uid15,7,5,"סתם פשוט שממש נהנתי מהפרוייקט, מרגישה שעברנו איתו ממש דרך, הרבה דברים שנכשלו .. תהליך וזיקוק ודיוק אין סופי של הדברים.",08:11
uid15,8,2,,08:12
uid15,9,3,,08:25
uid3,1,4,,05:28
uid3,2,4,,06:02
uid3,3,4,,06:19
uid3,4,3,,06:52
uid3,5,3,,07:16
uid3,6,4,,07:56
uid3,7,5,,07:58
uid3,8,3,,08:13
uid3,9,4,,08:30
uid11,1,4,,05:28
uid11,2,3,,05:44
uid11,3,3,,06:02
uid11,4,4,,06:45
uid11,5,2,,06:55
uid11,6,5,,07:18
uid11,8,1,,08:06
uid11,7,4,אמנם הפרויקט שלנו אבל בכנות מרגישה שהשתדלנו להוציא ממנו את המיטב ויצאנו מרוצות מהתוצאה,08:34
uid11,9,5,הנושא היה מורכב והן  הצליחו לפשט אותו באופן יחסי לזמן שהיה להצגה,08:38
uid16,1,5,,05:28
uid16,2,4,,05:43
uid16,3,4,,05:52
uid16,4,5,,06:43
uid16,5,2,,06:54
uid16,6,4,,07:05
uid16,7,4,,07:43
uid16,8,3,,08:05
uid16,9,4,,08:12
uid9,1,3,,05:29
uid9,2,4,,05:44
uid9,3,3,,06:01
uid9,4,4,,07:00
uid9,6,5,,07:17
uid9,7,5,,08:00
uid9,8,3,,08:06
uid9,9,4,,08:31
uid9,5,3,,08:50
uid14,1,4,,05:29
uid14,2,4,,05:44
uid14,3,4,"עלתה לי בהתחלה שאלה למה השתמשתן בגרף ברפלוט של 5 הערים ולא בגרף של פאי (עוגה), ואז הדעה שלי השתנתה מהר כשראיתי שהעמודות מציינות גם את הכמות ולא רק אחוזים, ואהבתי את הרעיון.",06:00
uid14,4,5,,06:47
uid14,5,3,,06:58
uid14,6,4,,07:41
uid14,7,5,,08:00
uid14,8,3,,08:07
uid14,9,4,,08:34
uid6,1,4,,05:29
uid6,2,5,,05:44
uid6,3,4,,05:58
uid6,4,4,,06:38
uid6,5,3,,07:20
uid6,6,4,,07:22
uid6,7,5,,07:58
uid6,8,3,,08:06
uid6,9,4,,08:22
uid17,1,4,,05:29
uid17,2,5,,05:44
uid17,3,2,,06:02
uid17,4,4,,06:45
uid17,5,3,,06:59
uid17,6,4,,07:15
uid17,7,5,,07:55
uid17,8,3,,08:32
uid17,9,4,,08:34
uid8,1,4,,05:29
uid8,2,5,,05:44
uid8,3,3,,06:02
uid8,4,5,,06:45
uid8,5,3,,07:00
uid8,6,4,,07:17
uid8,7,5,,07:54
uid8,8,3,,08:32
uid8,9,4,,08:33
uid7,1,4,,05:33
uid7,2,3,,05:46
uid7,3,3,,05:59
uid7,4,3,,06:38
uid7,5,3,,07:41
uid7,6,4,,07:42
uid7,7,4,,07:59
uid7,8,4,,08:08
uid7,9,4,,08:33
uid12,1,4,,05:35
uid12,2,4,,05:46
uid12,3,3,,06:01
uid12,4,5,,06:52
uid12,5,2,,06:59
uid12,6,4,,07:19
uid12,7,5,,07:59
uid12,8,2,,08:12
uid12,9,4,,08:46
