username,group_number,rate,feedback,time
uid3,2,4,,06:46
uid8,2,5,,06:46
uid7,2,3,,06:46
uid13,2,4,,06:46
uid10,1,4,,06:19
uid5,1,4,"המסקנה השניה עם הקורלציות יהיה קצת מסובך עם המון גרפים ופחות מובן
אהבתי ששלחו תמונה בווצאפ ואז גרם לנו להיכנס ל""עניינים""
",06:20
uid14,1,4,"גרפים מצויינים
איסוף נתונים מעולה 
",06:21
uid11,1,4,,06:22
uid6,1,5,,06:25
uid7,1,4,,06:25
uid1,1,5,,06:26
uid13,4,4,,06:26
uid8,1,5,,06:27
uid12,1,5,"בעיניי הפרויקט היה מעולה, ניכר היה שהושקעה המון מחשבה מאחורי הויזואליזציה והגרפים, וכמו כן גם הסינון והמיקוד במה שכדאי לנתח. שאפו על כך.
ארצה להאיר את עיניכן בנושא חלוקת הקשב של הכיתה, יכול להיות שהיה עדיף להתמקד יותר בתובנות וטיפ טיפה פחות בסינון של הלקוחות
חוץ מזה מעולה! ",06:27
uid2,1,5,"הגרפים היו שונים ומעניינים , ההצגה הייתה טובה והיה נראה שהן מבינות את מה שהן מציגות ",06:27
uid3,1,5,"מרגישים  שהן יודעות ומבינות את הפרויקט, שהן באמת למדו את החומר ",06:30
uid13,1,4,,06:30
uid5,2,3,"הייתי שמח לראות לפני שנכנסים למסקנות משהו מקדים או  רקע לפני 
קצת הפריע לי שעשו מסקנות על גברים לעומת נשים אבל אולי פשוט נשים דגות לדוגמא  הרבה פחות אז לא חושב שזה משהו שאפשר לעבוד עליו הרבה. אולי היה צריך לבדוק קודם כמה נשים לימת דברים משתתפים בדבר הזה",06:36
uid10,2,5,,06:39
uid6,2,4,,06:45
uid12,2,4,"היה פרויקט מעולה, חלק מהגרפים היו צריכים חידודים קטנים אבל חוץ מזה היו תובנות מעולות מתוך הדאטה וניתוח יפה!",06:46
uid2,2,5,היה מעניין מאוד לראות את התובנות על התקיפות של הכרישים ,06:47
uid11,2,5,,06:48
uid14,2,4,"קיבלתי את הערות וההארות
היה אפשר לתקן את הדברים הקטנים ואולי זה היה עושה הבדל קטן. ",06:49
uid4,1,3,"אני חושבת שהגרפים היו מאוד מאוד יפים ומיוחדים
אך יש כאלה שהיה עדיף שיהיו יותר פשוטים בשביל שהם יהיו יותר קריאים ומובנים מאשר מיוחדים",06:49
uid9,2,3,לאורך כמה שנים התיעוד הזה ובאיזה שנים?,06:53
uid5,3,4,הייתי מכניס צבעים לגרפים שיהיה מגוון ומושך לעין,06:57
uid10,3,4,,06:58
uid14,3,4,"הנושא היה מאוד מעניין אבל פשוט הכותרת אולי לא מתאימה. לא הרגשתי שמדברים על הקורונה, המילה קורונה הוזכרה מעט מאוד פעמים ",06:59
uid11,3,3,,07:00
uid9,3,4,,07:00
uid7,3,4,,07:01
uid8,3,5,,07:01
uid6,3,3,,07:01
uid9,1,5,,07:02
uid4,3,3,היה רק חסר לי שהגרפים לא היו בצבעים והכל היה בצבעי בייסיק ,07:02
uid13,3,4,,07:02
uid12,3,5,"מעולה, אהבתי מאוד את שאלות המחקר שהן בחרו לנתח. הגרפים היו מאוד מאוד ברורים, פרויקט מעולה!",07:02
uid2,3,4,היה מעניין והתובנות היו ברורות ,07:02
uid3,3,5,הבנה ובריאות בפרוייקט ובדאוה,07:02
uid1,3,5,,07:04
uid1,2,5,,07:06
uid4,2,4,,07:25
uid5,4,4,"הייתי שם את הגרפים של המפות של העולם אחד ליד השני לצורך השוואה טובה יותר

",07:28
uid14,4,5,"מאוד מעניין ומרשים 
הנושאים הוצגו בצורה מעניינת
גרפים מקוריים 
ונתונים רלוונטיים ",07:29
uid7,4,4,,07:29
uid9,4,5,"Very good flow, slowly building the understanding of the data.",07:33
